store_id,product_id,product_name,sku,stock_on_hand_before,stock_on_hand_after,stock_count,time_to_do_inventory,date
bcn017,1,Apples,SKU-001,99,90,90,00:28:00,2022-02-01
bcn017,2,Bananas,SKU-002,50,55,55,00:33:00,2022-02-01
bcn017,3,Oranges,SKU-003,75,70,70,00:28:00,2022-02-01
bcn017,4,Carrots,SKU-004,60,65,65,00:25:00,2022-02-01
bcn017,5,Potatoes,SKU-005,80,75,75,00:20:00,2022-02-01
bcn017,6,Tomatoes,SKU-006,40,35,35,00:35:00,2022-02-01
bcn017,7,Cucumbers,SKU-007,30,25,25,00:22:00,2022-02-01
bcn017,8,Onions,SKU-008,90,85,85,00:30:00,2022-02-01
bcn017,9,Garlic,SKU-009,20,20,20,00:23:00,2022-02-01
bcn017,10,Peppers,SKU-010,55,60,60,00:29:00,2022-02-01
bcn017,1,Apples,SKU-001,99,90,90,00:28:00,2022-02-07
bcn017,2,Bananas,SKU-002,55,60,60,00:32:00,2022-02-07
bcn017,3,Oranges,SKU-003,70,75,75,00:27:00,2022-02-07
bcn017,4,Carrots,SKU-004,65,70,70,00:24:00,2022-02-07
bcn017,5,Potatoes,SKU-005,75,80,80,00:21:00,2022-02-07
bcn017,6,Tomatoes,SKU-006,35,40,40,00:36:00,2022-02-07
bcn017,7,Cucumbers,SKU-007,25,30,30,00:23:00,2022-02-07
bcn017,8,Onions,SKU-008,85,90,90,00:29:00,2022-02-07
bcn017,9,Garlic,SKU-009,20,25,25,00:22:00,2022-02-07
bcn017,10,Peppers,SKU-010,60,65,65,00:30:00,2022-02-07
bcn017,1,Apples,SKU-001,93,90,90,00:28:00,2022-02-27
bcn017,2,Bananas,SKU-002,55,60,60,00:32:00,2022-02-27
bcn017,3,Oranges,SKU-003,75,70,70,00:28:00,2022-02-27
bcn017,4,Carrots,SKU-004,60,65,65,00:25:00,2022-02-27
bcn017,5,Potatoes,SKU-005,80,75,75,00:20:00,2022-02-27
bcn017,6,Tomatoes,SKU-006,40,35,35,00:35:00,2022-02-27
bcn017,7,Cucumbers,SKU-007,30,25,25,00:22:00,2022-02-27
bcn017,8,Onions,SKU-008,90,85,85,00:30:00,2022-02-27
bcn017,9,Garlic,SKU-009,20,20,20,00:23:00,2022-02-27
bcn017,10,Peppers,SKU-010,55,60,60,00:29:00,2022-02-27


